Wofür steht XR?,XR steht für Extended Reality.
Erklären Sie XR.,"XR (Extended Reality) ist der Sammelbegriff für alle immersiven Technologien. Es umfasst VR (Virtual Reality), AR (Augmented Reality) und MR (Mixed Reality). XR beschreibt das gesamte Spektrum zwischen realer und virtueller Umgebung."
"Nennen Sie die drei Technologien, die unter XR fallen, und beschreiben Sie jeweils in einem Satz, was sie bedeuten.","VR (Virtual Reality): Nutzer ist komplett in eine digital generierte Umgebung eingetaucht, die reale Welt wird vollständig ausgeblendet. AR (Augmented Reality): Die reale Welt wird durch digitale Elemente erweitert, wobei die Realität sichtbar bleibt. MR (Mixed Reality): Virtuelle und reale Objekte interagieren miteinander, z.B. reagiert ein virtuelles Objekt auf die Physik der realen Welt."
Nennen Sie drei Besonderheiten des VR-Renderings gegenüber herkömmlichem Rendering.,"Lens Distortion (und inverse Distortion), Chromatic Aberration, Stereoscopic Rendering."
"Erläutern Sie, was man unter Stereoscopic Rendering versteht.","Beim stereoskopischen Rendering werden zwei leicht versetzte Bilder gerendert – eines für jedes Auge. Der Versatz entspricht der Interpupillardistanz (IPD), also dem Abstand zwischen den Augen. Dadurch entsteht im Gehirn ein räumlicher 3D-Tiefeneffekt, wie wir ihn auch beim natürlichen Sehen haben. Nachteil ist die verdoppelte Render-Last."
Erklären Sie das Problem der Lens Distortion und wie es gelöst wird.,"VR-Linsen (meist Fresnel-Linsen) erzeugen eine Pincushion-Distortion (Kissenverzerrung), wodurch das Bild verzerrt wahrgenommen würde. Die Lösung: Die Software wendet beim Rendern eine Barrel-Distortion (Tonnenverzerrung) an. Da beide Verzerrungen entgegengesetzt sind, heben sie sich gegenseitig auf und das Bild erscheint korrekt."
Was ist Chromatic Aberration und wie wird sie korrigiert?,"Chromatic Aberration ist ein Farbfehler, bei dem Linsen verschiedene Lichtwellenlängen (Farben) unterschiedlich stark brechen. Dadurch entstehen Farbsäume an den Bildrändern. Die Korrektur erfolgt durch Verschiebung der einzelnen Farbkanäle (RGB) beim Rendern im Post-Processing."
Was ist Frustum Culling und worin unterscheidet sich VR Frustum Culling vom traditionellen?,"Frustum Culling ist eine Optimierungstechnik, bei der Objekte außerhalb des Sichtfelds (Frustum) nicht gerendert werden. Traditionell ist das Frustum pyramidenförmig, da Monitore rechteckig sind. Bei VR ist das Frustum kegelförmig, weil die Linsen rund sind."
Erläutern Sie das Prinzip von Foveated Rendering.,"Beim Foveated Rendering wird nur der Bereich scharf gerendert, den das Auge gerade fokussiert (Fovea). Der periphere Bereich wird mit geringerer Auflösung gerendert. Dies spart massiv Rechenleistung. Voraussetzung ist Eye-Tracking, um zu wissen, wohin der Nutzer schaut. Ohne Eye-Tracking gibt es ""Fixed Foveated Rendering"", bei dem nur die Bildmitte scharf gerendert wird."
Was ist Space Warp (ASW)?,"Space Warp (Asynchronous Space Warp) ist eine Technik, die künstliche Zwischenframes generiert, wenn die GPU die Ziel-Framerate (z.B. 90Hz) nicht halten kann. Dadurch wird die benötigte Rechenleistung um bis zu 70% reduziert und Motion Sickness durch niedrige Framerates wird verhindert."
Erklären Sie den Unterschied zwischen 3DoF und 6DoF.,"3DoF (3 Degrees of Freedom) erfasst nur die Rotation des Kopfes in drei Achsen: Yaw (links/rechts drehen), Pitch (oben/unten neigen) und Roll (zur Seite kippen). Die Position im Raum wird nicht erfasst. 6DoF (6 Degrees of Freedom) erfasst zusätzlich zur Rotation auch die Position im Raum (Bewegung in x, y, z). Beispiel: Google Cardboard hat 3DoF, Meta Quest 2 hat 6DoF."
